FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-d040,Calibration_iDR5_3_PSF,0.0044,-0.0095,-0.0029
SPLUS-d042,Calibration_iDR5_3_PSF,0.0221,0.0082,0.0013
SPLUS-d043,Calibration_iDR5_3_PSF,0.0264,0.0102,-0.0006
SPLUS-d044,Calibration_iDR5_3_PSF,0.0173,0.0018,-0.0025
SPLUS-d045,Calibration_iDR5_3_PSF,0.0211,0.0075,-0.0001
SPLUS-d046,Calibration_iDR5_3_PSF,0.0218,0.0075,-0.0005
SPLUS-d049,Calibration_iDR5_3_PSF,0.0123,-0.0084,-0.0176
SPLUS-d050,Calibration_iDR5_3_PSF,0.0174,0.0068,-0.0017
SPLUS-d051,Calibration_iDR5_3_PSF,-0.0045,-0.0473,-0.0646
SPLUS-d052,Calibration_iDR5_3_PSF,0.0243,0.0012,-0.0165
SPLUS-d053,Calibration_iDR5_3_PSF,0.0148,-0.0088,-0.0097
SPLUS-d056,Calibration_iDR5_3_PSF,0.0063,-0.0079,-0.0019
SPLUS-d057,Calibration_iDR5_3_PSF,0.0153,0.0037,-0.0004
SPLUS-d058,Calibration_iDR5_3_PSF,0.016,0.0023,-0.0003
SPLUS-d059,Calibration_iDR5_3_PSF,0.0128,0.0013,0.0003
SPLUS-d060,Calibration_iDR5_3_PSF,0.0116,0.0017,0.0021
SPLUS-d061,Calibration_iDR5_3_PSF,0.0178,0.0041,-0.0003
SPLUS-d062,Calibration_iDR5_3_PSF,0.0251,0.0116,-0.0018
SPLUS-d065,Calibration_iDR5_3_PSF,0.0195,-0.0018,-0.0071
SPLUS-d066,Calibration_iDR5_3_PSF,0.0164,-0.0054,-0.0093
SPLUS-d068,Calibration_iDR5_3_PSF,0.0101,-0.0081,-0.0089
SPLUS-d071,Calibration_iDR5_3_PSF,0.0065,-0.0085,-0.0031
SPLUS-d072,Calibration_iDR5_3_PSF,0.0101,-0.005,-0.0028
SPLUS-d073,Calibration_iDR5_3_PSF,0.0145,0.0018,0.0009
SPLUS-d074,Calibration_iDR5_3_PSF,0.0043,-0.0076,-0.0101
SPLUS-d075,Calibration_iDR5_3_PSF,0.0145,0.0034,0.0038
SPLUS-d076,Calibration_iDR5_3_PSF,0.0188,0.0056,0.0001
SPLUS-d078,Calibration_iDR5_3_PSF,0.0392,0.0226,-0.0062
SPLUS-d081,Calibration_iDR5_3_PSF,0.0116,-0.002,-0.0072
SPLUS-d083,Calibration_iDR5_3_PSF,0.0089,-0.0061,-0.0072
SPLUS-d084,Calibration_iDR5_3_PSF,0.0117,-0.0061,-0.0071
SPLUS-d085,Calibration_iDR5_3_PSF,0.0127,-0.003,-0.006
SPLUS-d086,Calibration_iDR5_3_PSF,0.0096,-0.0055,-0.0021
