iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82_0096,STRIPE82-0096,STRIPE82_0096,single,-0.57323,-0.56842,-0.55109,-0.56209,-0.50369,-0.49923,-0.42727,-0.39737,-0.43306,-0.36959,-0.38418,-0.47908
STRIPE82_0097,STRIPE82-0097,STRIPE82_0097,single,-0.4935,-0.39543,-0.36112,-0.33147,-0.37734,-0.32697,-0.31511,-0.23926,-0.21168,-0.20733,-0.18662,-0.21218
STRIPE82_0098,STRIPE82-0098,STRIPE82_0098,single,-0.54375,-0.51536,-0.67744,-0.80055,-0.76212,-0.61205,-0.61631,-0.49312,-0.64442,-0.45503,-0.39467,-0.37173
STRIPE82-0099,STRIPE82-0099,STRIPE82_0099,single,-0.49648,-0.47785,-0.45298,-0.42208,-0.44158,-0.38752,-0.39287,-0.33763,-0.32834,-0.29875,-0.29714,-0.3312
STRIPE82_0100,STRIPE82-0100,STRIPE82_0100,single,-0.58678,-0.54111,-0.42673,-0.41355,-0.4205,-0.38544,-0.3904,-0.35164,-0.30257,-0.29524,-0.22713,-0.30193
STRIPE82-0101,STRIPE82-0101,STRIPE82_0101,single,-0.50246,-0.42891,-0.39888,-0.41545,-0.41298,-0.40027,-0.3767,-0.36757,-0.3192,-0.28027,-0.27347,-0.27454
STRIPE82_0102,STRIPE82-0102,STRIPE82_0102,single,-0.37754,-0.40791,-0.33583,-0.34779,-0.32631,-0.33806,-0.27764,-0.27321,-0.21267,-0.21596,-0.202,-0.22303
STRIPE82_0103,STRIPE82-0103,STRIPE82_0103,single,-0.66221,-0.58249,-0.59324,-0.5355,-0.50843,-0.47292,-0.50883,-0.43562,-0.33288,-0.33155,-0.35461,-0.31549
STRIPE82_0104,STRIPE82-0104,STRIPE82_0104,single,-0.55514,-0.78273,-0.59342,-0.55634,-0.54138,-0.37535,-0.42128,-0.29937,-0.25054,-0.24388,-0.22012,-0.24746
STRIPE82-0105,STRIPE82-0105,STRIPE82_0105,single,-0.53092,-0.42084,-0.39486,-0.34951,-0.38013,-0.3733,-0.3982,-0.29886,-0.43311,-0.31237,-0.57952,-0.3218
STRIPE82_0106,STRIPE82-0106,STRIPE82_0106,single,-0.61549,-0.52823,-0.49152,-0.40514,-0.39544,-0.38373,-0.35039,-0.2859,-0.34004,-0.28407,-0.27963,-0.31872
